Agency Name,Profile URL,Website URL,Description,City,State,Employee Count,Min Project Size,Average Rating,Review Count,Industry Focus,Clients List,Common Project Size,Client Size Distribution
Trailblaze Marketing,https://themanifest.com/company/trailblaze-marketing,http://www.trailblaze.marketing,"Digital marketing agency Trailblaze Marketing is based in Lincoln, R.I. Since its founding in 2017, the agency has acquired a team of 10 experts. Trailblaze Marketing specializes in web design, SEO, PPC, and digital strategy. Clients include companies in the business service and e-commerce industries.","Providence, RI",RI,'10 - 49,"$5,000+",,,"Business services 20%
Information technology 15%
Manufacturing 15%
Other industries 15%
eCommerce 15%
Financial services 10%
Non-profit 10%",BankRI,,"Small Business (<$10M) 60%
Midmarket ($10M - $1B) 40%"
Moxē,https://themanifest.com/company/mox-0,https://www.getmoxe.com,"Media planning & buying agency Moxē is based in Orlando, Florida. The small company was established in 1985. Their services include media planning & buying, advertising, public relations, pay per click, and more.","Orlando, FL",FL,'10 - 49,"$5,000+",,,,,,
Advoc8,https://themanifest.com/company/advoc8,http://www.advoc8.com/,"Advoc8 is an Advertising company established in 2016. Headquartered in Washington, District of Columbia and Charlotte, North Carolina, their small team focuses on Advertising, Branding, Marketing Strategy, Event Marketing, and more.","Washington, DC",DC,'10 - 49,Undisclosed,,,,,,
"The Ward Group, Inc.",https://themanifest.com/company/ward-group-0-0,http://www.mediastewards.com,"The Ward Group, Inc. Is a Frisco, Texas-based media planning and buying company. Established in 1985, the small team focuses on media planning & buying, digital strategy, mobile & app marketing, pay per click, and more.","Frisco, TX",TX,'10 - 49,"$1,000+",,,,,,
The Ehrhardt Group,https://themanifest.com/company/ehrhardt-group,http://www.tegpr.com,"The Ehrhardt Group, a public relations firm, is headquartered in New Orleans, Louisiana. Founded in 1996, the small team focuses on public relations, advertising, digital strategy, and social media marketing.","New Orleans, LA",LA,'10 - 49,"$5,000+",,,"Energy & natural resources 49%
Business services 25%
Hospitality & leisure 15%
Arts, entertainment & music 5%
Education 1%
Financial services 1%
Gaming 1%
Legal 1%
Medical 1%
Utilities 1%",,,
Style Advertising,https://themanifest.com/company/style-advertising,http://www.styleadvertising.com/,"Style Advertising is an advertising company. Founded in 1970, the team provides advertising, digital strategy, media planning & buying, public relations, and more. Their small firm is located in Birmingham, Alabama.","Birmingham, AL",AL,'10 - 49,Undisclosed,,,,,,
Bob Abbate Marketing,https://themanifest.com/company/bob-abbate-marketing,https://bobabbatemarketing.com/,"Bob Abbate Marketing is a small advertising company. The Bridgeport, Connecticut-based company was launched in 1997. Their team specializes in advertising, media planning & buying, search engine optimization, digital strategy, and more.","Bridgeport, CT",CT,'10 - 49,"$25,000+",,,,,,
"Mason, Inc.",https://themanifest.com/company/mason-0-0,https://www.mason23.com/,"Mason, Inc., an advertising company, is based in Bethany, Connecticut. The small team offers advertising, digital strategy, public relations, and social media marketing. The firm was established in 1951.","Bethany, CT",CT,'10 - 49,Undisclosed,,,"Medical 60%
Gaming 15%
Government 15%
Utilities 10%",,,
The Harris Agency,https://themanifest.com/company/harris-agency,https://www.harris-agency.com/,"Founded in 2004, The Harris Agency is a small advertising company. Their services include advertising, branding, digital strategy, marketing strategy, and more. The company is located in Honolulu, Hawaii.","Honolulu, HI",HI,'10 - 49,Undisclosed,,,,,,
Olomana Loomis ISC,https://themanifest.com/company/olomana-loomis-isc,http://olomanaloomisisc.com/,"In Honolulu, Hawaii, Olomana Loomis ISC is an advertising company. Established in 1982, the small team offers advertising, branding, graphic design, market research, and more.","Honolulu, HI",HI,'10 - 49,Undisclosed,,,,,,
Relevance International,https://themanifest.com/company/relevance-international,https://relevanceinternational.com/,"Relevance International is a New York, New York-based public relations agency. The small team offers Public Relations, Social Media Marketing, Advertising, Branding, and more and was established in 2012.","New York, NY",NY,'10 - 49,Undisclosed,,,"Real estate 30%
Advertising & marketing 20%
Hospitality & leisure 15%
Food & Beverage 10%
Telecommunications 10%
Construction 5%
Government 5%
eCommerce 5%",,,"Small Business (<$10M) 20%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 30%"
VVI,https://themanifest.com/company/vvi,https://www.vvicrew.com/,"VVI is a midsize branding company. Founded in 2000, the team offers branding, video production, advertising, media planning & buying, and more. The company is in Sioux Falls, South Dakota.","Sioux Falls, SD",SD,'50 - 249,Undisclosed,,,,,,
The Millerschin Group,https://themanifest.com/company/millerschin-group,http://millerschingroup.com/,"The Millerschin Group is a public relations agency in Auburn Hills, Michigan. The small company was founded in 2000. Their team offers public relations, advertising, branding, event marketing & planning, and more.","Auburn Hills, MI",MI,'10 - 49,Undisclosed,,,,Eaton,,
Sleeping Giant Creative,https://themanifest.com/company/sleeping-giant-creative,https://sleepinggc.com/,"Sleeping Giant Creative is a small advertising company. Founded in 2008, the company is headquartered in Indianapolis, Indiana. Their team offers advertising, branding, web design, and web development.","Indianapolis, IN",IN,'2 - 9,Undisclosed,,,,,,
Strausberg Group,https://themanifest.com/company/strausberg-group,http://strausberggroup.com/,"Strausberg Group is a media planning and buying agency. They are in Santa Monica, California and have a small team. Their services include media planning & buying, advertising, web design, market research, and more.","Santa Monica, CA",CA,'10 - 49,"$5,000+",4.5,1,"Hospitality & leisure 30%
Advertising & marketing 20%
Food & Beverage 20%
Real estate 20%
Non-profit 10%",,,"Small Business (<$10M) 65%
Midmarket ($10M - $1B) 35%"
TEEM,https://themanifest.com/company/teem,https://helloteem.com/,"TEEM is a marketing strategy company based in Boulder, Colorado. The small team specializes in marketing strategy, advertising, branding, graphic design, and more. The firm was founded in 2009.","Boulder, CO",CO,'10 - 49,Undisclosed,,,,,,
OTT Communications Inc,https://themanifest.com/company/ott-communications,https://www.ottcom.com/,"Marketing strategy company OTT Communications Inc is in Louisville, Kentucky. The small agency was founded in 1969. Their team offers marketing strategy, advertising, branding, media planning & buying, and more.","Louisville, KY",KY,'10 - 49,Undisclosed,,,,,,
Starlight Advertising,https://themanifest.com/company/starlight-advertising,https://www.starlightad.com/,"Located in Miami, Florida, Starlight Advertising is an advertising and branding agency. The small agency was launched in 1986. Their team provides advertising and branding.","Miami, FL",FL,'10 - 49,Undisclosed,,,,,,
Marketing By Design LLC,https://themanifest.com/company/marketing-design-2-0,http://www.mbdesign.com/,"Marketing By Design LLC is a midsize packaging design company. They provide packaging design, branding, and advertising and were founded in 1990.","Beverly, MA",MA,'50 - 249,Undisclosed,,,,,,
Brew Agency,https://themanifest.com/company/brew-agency,https://think-brew.com/,"Launched in 2010, Brew Agency is a branding agency. They are headquartered in Baton Rouge, Louisiana and have a small team. Their services include branding, advertising, web development, marketing strategy, and more.","Baton Rouge, LA",LA,'10 - 49,Undisclosed,,,,,,
Belltower Advertising,https://themanifest.com/company/belltower-advertising,https://www.belltoweradvertising.com,"Media planning & buying company Belltower Advertising was established in 2004. The small Bellevue, Kentucky-based team specializes in media planning & buying, advertising, and social media marketing.","Bellevue, KY",KY,'10 - 49,Undisclosed,,,"Medical 20%
Other industries 20%
Automotive 15%
Retail 15%
Education 10%
Financial services 10%
Media 5%
Non-profit 5%",,,
SASSO,https://themanifest.com/company/sasso,https://www.sassoagency.com/,"SASSO is a Baton Rouge, Louisiana-based advertising company. The firm provides advertising, branding, marketing strategy, public relations, and more and is small.The firm was founded in 2011.","Baton Rouge, LA",LA,'10 - 49,Undisclosed,,,,,,
Strategic Elements LLC,https://themanifest.com/company/strategic-elements,http://strategicelements.com/,"Strategic Elements LLC is a PR firm. Their small team is headquartered in West Des Moines, Iowa. Their services include Public Relations, Social Media Marketing, Advertising, Digital Strategy, and more. The agency was launched in 2009.","West Des Moines, IA",IA,'10 - 49,Undisclosed,,,"Business services 20%
Energy & natural resources 20%
Government 20%
Medical 20%
Politics 20%",,,
HAPPYLUCKY,https://themanifest.com/company/happylucky,https://happylucky.com/,"Branding company HAPPYLUCKY was launched in 2004. Their midsize team is in Portland, Oregon. Their services include branding, social media marketing, advertising, digital strategy, and more.","Portland, OR",OR,'50 - 249,Undisclosed,,,"Advertising & marketing 34%
Consumer products & services 33%
Retail 33%",,,
A LINE Studio,https://themanifest.com/company/line-studio,http://www.aline.studio/,"Located in San Francisco, California, A Line Studio is a small advertising company. They provide advertising, branding, logo, marketing strategy, and more and were established in 2017.","San Francisco, CA",CA,'2 - 9,Undisclosed,,,,,,"Small Business (<$10M) 35%
Midmarket ($10M - $1B) 45%
Enterprise (>$1B) 20%"
The Solutions Group of Jonesboro,https://themanifest.com/company/solutions-group-jonesboro,http://solutions.marketing/,"The Solutions Group of Jonesboro is a branding agency. Headquartered in Jonesboro, Arkansas, their small team offers branding, marketing strategy, market research, advertising, and more. The firm was established in 2015.","Jonesboro, AR",AR,'10 - 49,Undisclosed,,,,,,
Cain & Company,https://themanifest.com/company/cain-company,https://www.cain-co.com/,"Cain & Company, an advertising company, was founded in 1973. Their small team is located in Rockford, Illinois and focuses on advertising, branding, marketing strategy, print design, and more.","Rockford, IL",IL,'10 - 49,Undisclosed,,,,,,
H2M,https://themanifest.com/company/h2m,http://www.h2m.biz/,"H2M is an advertising company. Their small team is in North River, North Dakota. The agency offers advertising, market research, and branding. The agency was established in 2001.","North River, ND",ND,'10 - 49,Undisclosed,,,,,,
Arthur Elliott,https://themanifest.com/company/arthur-elliott-0,https://arthurelliott.com/,"Arthur Elliot Marketing Group is an advertising company based in Charlotte, North Carolina. Launched in 2004, the small team specializes in advertising, branding, marketing strategy, ux/ui design, and more.","Charlotte, NC",NC,'10 - 49,"$5,000+",,,"Automotive 50%
eCommerce 15%
Consumer products & services 10%
Business services 5%
Dental 5%
Energy & natural resources 5%
Hospitality & leisure 5%
Non-profit 5%",,,"Small Business (<$10M) 50%
Midmarket ($10M - $1B) 50%"
GrahamSpencer,https://themanifest.com/company/grahamspencer,https://www.grahamspencer.com/,"Located in Rockford, Illinois, GrahamSpencer is a branding firm. They specialize in branding, event marketing & planning, advertising, market research, and more and were established in 1987.","Rockford, IL",IL,'10 - 49,Undisclosed,,,,,,
Communications Counsel,https://themanifest.com/company/communications-counsel,http://www.communicationscounsel.com/,"Communications Counsel, a PR firm, was launched in 1999. The small team offers public relations, advertising, and social media marketing. The agency is based in Columbus, Ohio.","Columbus, OH",OH,'2 - 9,Undisclosed,,,,,,
Chumney & Associates,https://themanifest.com/company/chumney-associates,http://www.chumneyads.com/,"Chumney & Associates is a Greenville, South Carolina-based media planning and buying agency. The midsize team specializes in media planning & buying, advertising, search engine optimization, social media marketing, and more and was launched in 1990.","Greenville, SC",SC,'50 - 249,Undisclosed,,,,,,
Wilderness Agency,https://themanifest.com/company/wilderness-agency,https://wildernessagency.com/,"Wilderness Agency, a SEO company, is based in Dayton, Ohio. They focus on Search Engine Optimization, Pay Per Click, Advertising, Branding, and more and were founded in 2016.","Dayton, OH",OH,'10 - 49,Undisclosed,,,,,,
Rinck Advertising,https://themanifest.com/company/rinck-advertising,https://rinckadvertising.com/,"Rinck Advertising, an advertising company, was established in 2001. They are in Lewiston, Maine and Annapolis, Maryland and have a small team. Their services include advertising, marketing strategy, branding, digital strategy, and more.","Lewiston, ME",ME,'10 - 49,"$100,000+",,,,,,
BrandHive,https://themanifest.com/company/brandhive,http://www.brandhive.com/,"Brandhive is a small advertising company in Salt Lake City, Utah. Founded in 1997, the team specializes in advertising, branding, public relations, social media marketing, and more.","Salt Lake City, UT",UT,'10 - 49,Undisclosed,,,,,,
Brand It Advertising,https://themanifest.com/company/brand-it-advertising,https://www.branditadvertising.com/,"Brand It Advertising, a small branding company, is located in Spokane Valley, Washington. Their services include branding, media planning & buying, public relations, graphic design, and more.","Spokane Valley, WA",WA,'10 - 49,"$5,000+",,,"Medical 20%
Business services 15%
Automotive 10%
Construction 10%
Dental 10%
Gaming 10%
Roofing 10%
Consumer products & services 5%
Financial services 5%
HVAC 5%",,,"Small Business (<$10M) 45%
Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 15%"
Macarta,https://themanifest.com/company/macarta,https://www.macarta.com/,"Macarta is an advertising company founded in 2015. They are located in Denver, Colorado; San Diego, California and San Miguel, Mexico and have a small team. The firm offers advertising, content marketing, marketing strategy, and search engine optimization.","Denver, CO",CO,'10 - 49,Undisclosed,,,"Advertising & marketing 50%
eCommerce 50%",,,"Small Business (<$10M) 50%
Midmarket ($10M - $1B) 25%
Enterprise (>$1B) 25%"
Creative Energy,https://themanifest.com/company/creative-energy,https://cenergy.com/,"Creative Energy is a small media planning and buying company based in Johnson City, Tennessee. Established in 1991, the team focuses on media planning & buying, advertising, branding, marketing strategy, and more.","Johnson City, TN",TN,'10 - 49,"$10,000+",,,"Consumer products & services 40%
Hospitality & leisure 20%
Manufacturing 20%
eCommerce 10%
Advertising & marketing 5%
Financial services 5%",,,"Small Business (<$10M) 40%
Midmarket ($10M - $1B) 60%"
SIX Marketing,https://themanifest.com/company/six-marketing,http://www.six.marketing/,"Launched in 2011, SIX Marketing is an advertising company. The agency specializes in advertising, event marketing & planning, business consulting, marketing strategy, and more and has a small team.","Saratoga Springs, NY",NY,'10 - 49,Undisclosed,,,"Manufacturing 45%
Construction 35%
Energy & natural resources 15%
Other industries 5%",,,
"2911 Enterprises, Inc.",https://themanifest.com/company/2911-enterprises,https://2911.us/,"Based in Nashville, Tennessee, 2911 Enterprises, Inc. Is an advertising company. The company focuses on advertising, branding, marketing strategy, media planning & buying, and more and is small.The company was launched in 2017.","Nashville, TN",TN,'2 - 9,Undisclosed,,,,,,
Palmetto Digital Marketing Group,https://themanifest.com/company/palmetto-digital-marketing-group,http://www.palmettodigitalmarketinggroup.com/,"Palmetto Digital Marketing Group, a PPC agency, was founded in 2014. They are in Charleston, South Carolina and have a small team. Palmetto Digital Marketing Group offers pay per click, advertising, search engine optimization, business consulting, and more.","Charleston, SC",SC,'2 - 9,"$1,000+",,,"eCommerce 50%
Advertising & marketing 40%
Information technology 10%",,,"Small Business (<$10M) 79%
Midmarket ($10M - $1B) 20%
Enterprise (>$1B) 1%"
Potluck Consulting,https://themanifest.com/company/potluck-consulting,https://potluckconsulting.com/,"Established in 2013, Potluck Consulting is a social media marketing company. The small team specializes in social media marketing, search engine optimization, advertising, email marketing, and more. The agency is headquartered in Santa Rosa, California.","Santa Rosa, CA",CA,'2 - 9,"$1,000+",,,"eCommerce 30%
Consumer products & services 20%
Hospitality & leisure 20%
Arts, entertainment & music 10%
Non-profit 10%
Business services 5%
Other industries 5%",,,"Small Business (<$10M) 75%
Midmarket ($10M - $1B) 25%"
LS Media,https://themanifest.com/company/ls-media,https://www.lsmedia.com,"Located in Westport, Connecticut, LS Media is a small pay per click agency. The team offers pay per click, social media marketing, media planning & buying, advertising, and more.","Westport, CT",CT,'10 - 49,Undisclosed,,,,,,"Small Business (<$10M) 70%
Midmarket ($10M - $1B) 30%"
Marshall Advertising,https://themanifest.com/company/marshall-advertising,https://marshalladvertising.com,"Marshall Advertising is a media planning and buying agency. They provide media planning & buying, other digital marketing, pay per click, and social media marketing and were launched in 2001. The company is in Tampa, Florida.","Tampa, FL",FL,'10 - 49,Undisclosed,,,,,,"Small Business (<$10M) 5%
Midmarket ($10M - $1B) 75%
Enterprise (>$1B) 20%"
Shinebox,https://themanifest.com/company/shinebox,https://shinebox.com,"Established in 2010, Shinebox is an advertising company. Located in Minneapolis, Minnesota, their small team provides advertising, branding, and corporate photography.","Minneapolis, MN",MN,'10 - 49,Undisclosed,,,"Manufacturing 40%
Medical 40%
Retail 20%",,,"Small Business (<$10M) 30%
Midmarket ($10M - $1B) 30%
Enterprise (>$1B) 40%"
BAM Advertising,https://themanifest.com/company/bam-advertising,https://www.bamadv.com/,"BAM Advertising is an advertising company based in McMurray, Pennsylvania. The small team provides advertising, marketing strategy, media planning & buying, search engine optimization, and more. The firm was founded in 2004.","Bridgeville, PA",PA,'10 - 49,Undisclosed,,,,,,"Small Business (<$10M) 50%
Midmarket ($10M - $1B) 50%"
TURCHETTE - Brand Marketing & Public Relations,https://themanifest.com/company/turchette-brand-marketing-public-relations,http://www.turchette.com,"Founded in 1950, TURCHETTE - Brand Marketing & Public Relations is an advertising company. Their small team is based in Fairfield, New Jersey. Their team focuses on advertising, branding, and public relations.","Fairfield, NJ",NJ,'10 - 49,Undisclosed,,,,,,
The Digital Ring,https://themanifest.com/company/digital-ring,https://thedigitalring.com,"The Digital Ring is an advertising company. They are headquartered in Madison, Wisconsin and have a small team. The company specializes in advertising, search engine optimization, social media marketing, web design, and more.","Madison, WI",WI,'10 - 49,Undisclosed,,,,,,
Hybrid,https://themanifest.com/company/hybrid,https://hybridmediaservices.com/,"Hybrid is an Advertising and media planning & buying agency. Their small team is located in Armonk, New York. The company offers Advertising and Media Planning & Buying.","Armonk, NY",NY,'10 - 49,Undisclosed,,,,,,
CLC Agency,https://themanifest.com/company/clc-agency,http://www.clcagency.com/,"CLC Agency, a marketing strategy company, was launched in 1995. The small Pittsburgh, Pennsylvania-based team offers marketing strategy, advertising, email marketing, graphic design, and more.","Pittsburgh, PA",PA,'10 - 49,Undisclosed,,,,,,
High-Proof Creative,https://themanifest.com/company/high-proof-creative,https://highproofcreative.com/,"High-Proof Creative is a Portland, Oregon-based advertising company. The small team specializes in advertising, branding, search engine optimization, social media marketing, and more. The company was founded in 2018.","Portland, OR",OR,'2 - 9,Undisclosed,,,,,,
Evolution Communications Agency,https://themanifest.com/company/evolution-communications-agency,https://becausemessagematters.com/,"Evolution Communications Agency is a small advertising company. They offer advertising, branding, media planning & buying, public relations, and more and were founded in 2014.","Littleton, CO",CO,'2 - 9,Undisclosed,,,,,,
Cranium Agency,https://themanifest.com/company/cranium-agency,https://craniumagency.com/,"Cranium Agency is a small Greenwood Village, Colorado-based branding company. Launched in 1989, the team focuses on branding, marketing strategy, web design, and advertising.","Denver, CO",CO,'2 - 9,Undisclosed,,,,,,"Small Business (<$10M) 25%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 25%"
Triad Search Marketing,https://themanifest.com/company/triad-search-marketing,http://www.triadsearchmarketing.com,"Triad Search Marketing is an email marketing company founded in 2008. Based in Greensboro, North Carolina, their small team offers email marketing, mobile & app marketing, search engine optimization, social media marketing, and more.","Greensboro, NC",NC,'2 - 9,"$5,000+",,,,,,"Small Business (<$10M) 30%
Midmarket ($10M - $1B) 60%
Enterprise (>$1B) 10%"
2TON,https://themanifest.com/company/2ton,https://www.2ton.com,"2TON is an advertising company. Founded in 2018, the small agency is headquartered in West Palm Beach, Florida and Delray Beach, Florida. Their services include advertising, branding, graphic design, search engine optimization, and more.","West Palm Beach, FL",FL,'10 - 49,Undisclosed,,,,,,
Smart 1 Marketing,https://themanifest.com/company/smart-1-marketing,https://www.smart1marketing.com/,"Smart 1 Marketing is an advertising company established in 2009. The small Blacklick, Ohio-based team specializes in advertising, search engine optimization, social media marketing, web design, and more.","Blacklick, OH",OH,'10 - 49,Undisclosed,,,,,,
Fresh Creative Inc.,https://themanifest.com/company/fresh-creative,https://www.freshcreativeinc.com/,"Fresh Creative Inc. Is an advertising company. Based in Lebanon, Pennsylvania, their small team provides advertising, marketing strategy, media planning & buying, pay per click, and more. The company was established in 1999.","Lebanon, PA",PA,'10 - 49,"$5,000+",,,,,,
Quattro,https://themanifest.com/company/quattro,https://quattro.agency,"Advertising company Quattro was established in 2004. The company offers advertising, digital strategy, graphic design, marketing strategy, and more and has a small team.","Wayne, PA",PA,'10 - 49,"$10,000+",,,"Financial services 50%
Consumer products & services 25%
Telecommunications 25%",,,"Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 50%"
Aisle Rocket,https://themanifest.com/company/aisle-rocket,http://www.targetdatacorp.com,"Midsize web design company Aisle Rocket, is located in Chicago, Illinois; Boston, Massachusetts and St. Joseph, Michigan. They focus on web design, advertising, social media marketing, branding, and more and were established in 2010.","Chicago, IL",IL,'50 - 249,"$25,000+",,,"eCommerce 34%
Consumer products & services 33%
Retail 33%",,,"Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 60%"
"InDigiMar, Inc.",https://themanifest.com/company/indigimar,https://www.indigimar.com/,"InDigiMar, Inc. Is a Suffolk, Virginia-based advertising company. The small team offers advertising, email marketing, search engine optimization, social media marketing, and more. The firm was founded in 2011.","Suffolk, VA",VA,'10 - 49,"$5,000+",,,,,,
"Coastline Marketing Group, Inc",https://themanifest.com/company/coastline-marketing-group,https://coastlinemarketinggroup.com/,"Coastline Marketing Group, Inc, a small advertising company, is headquartered in Salinas, California. They offer advertising, pay per click, search engine optimization, and web development and were founded in 2007.","Salinas, CA",CA,'2 - 9,Undisclosed,,,,,,
Advisight,https://themanifest.com/company/advisight,https://Advisight.com,"Advisight is an advertising and branding company. The Los Angeles, California-based company was launched in 2013. The midsize team provides advertising and branding.","Los Angeles, CA",CA,'250 - 999,"$1,000+",,,Advertising & marketing 100%,,,"Small Business (<$10M) 25%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 25%"
Garrow Media,https://themanifest.com/company/garrow-media,https://www.garrowmediallc.com/,"Garrow Media, a SEO agency, was launched in 1992. Their small team is based in St. Louis, Missouri. Their services include search engine optimization, advertising, ux/ui design, pay per click, and more.","St. Louis, MO",MO,'2 - 9,Undisclosed,,,Advertising & marketing 100%,,,"Small Business (<$10M) 75%
Midmarket ($10M - $1B) 25%"
CULTURE ONE WORLD,https://themanifest.com/company/culture-one-world,http://www.cultureoneworld.com,"CULTURE ONE WORLD, an advertising company, was founded in 2011. Located in Washington, District of Columbia, their small team provides advertising, social media marketing, media planning & buying, public relations, and more.","Washington, DC",DC,'10 - 49,"$25,000+",,,,,,"Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 50%"
Matter Made,https://themanifest.com/company/matter-made,https://www.mattermade.co/,"Matter Made is a branding agency. The small San Francisco, California-based team focuses on branding, content marketing, digital strategy, marketing strategy, and more. The agency was founded in 2016.","San Francisco, CA",CA,'10 - 49,Undisclosed,,,"Advertising & marketing 20%
Consumer products & services 20%
Financial services 20%
Information technology 20%
Telecommunications 20%",,,"Midmarket ($10M - $1B) 20%
Enterprise (>$1B) 80%"
Success Tech Services,https://themanifest.com/company/success-tech-services,https://www.successtechservices.com/,"Launched in 2019, Success Tech Services is a web design agency. The firm focuses on web design and web development and has a small team. The firm is headquartered in Houston, Texas.","Houston, TX",TX,'2 - 9,"$5,000+",,,"eCommerce 50%
Business services 25%
Retail 25%",,,"Small Business (<$10M) 65%
Midmarket ($10M - $1B) 25%
Enterprise (>$1B) 10%"
Urfoodsupply,https://themanifest.com/company/urfoodsupply,https://urfoodsupply.com,"Urfoodsupply, an advertising and other marketing company, is headquartered in Schaumburg, Illinois. They offer advertising and other marketing and were founded in 2010.","Schaumburg, IL",IL,'10 - 49,"$1,000+",,,"Consumer products & services 50%
eCommerce 50%",,,Small Business (<$10M) 100%
Hagadone Media Group,https://themanifest.com/company/hagadone-media-group,https://www.hagadonemediagroup.com/,"Hagadone Media Group is an advertising company. In Coeur d'Alene, Idaho; Honolulu, Hawaii; Kalispell, Montana and Moses Lake, Washington, their small team specializes in advertising, content marketing, digital strategy, email marketing, and more. The firm was established in 2007.","Coeur d'Alene, ID",ID,'10 - 49,"$1,000+",,,,,,
A to Z Communications,https://themanifest.com/company/z-communications,https://www.atozcommunications.com,"A to Z Communications is a small Pittsburgh, Pennsylvania-based advertising company. Established in 1988, the team offers advertising, branding, public relations, market research, and more.","Pittsburgh, PA",PA,'10 - 49,"$10,000+",,,"Education 30%
Energy & natural resources 15%
Financial services 15%
Medical 15%
Hospitality & leisure 10%
Arts, entertainment & music 5%
Business services 5%
Manufacturing 5%",,,
TradeMarc Global LLC,https://themanifest.com/company/trademarc-global,https://tmgbl.com/,"Advertising company TradeMarc Global LLC was launched in 2014. They are in King of Prussia, Pennsylvania and have a small team. TradeMarc Global LLC offers advertising, search engine optimization, email marketing, affiliate marketing, and more.","King of Prussia, PA",PA,'2 - 9,"$1,000+",,,Advertising & marketing 100%,,,"Small Business (<$10M) 30%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 20%"
Flanker Media,https://themanifest.com/company/flanker-media,https://www.attackopportunity.com/,"Flanker Media is a small Marion, Iowa-based advertising company. The team offers advertising, media planning & buying, pay per click, marketing strategy, and more.","Marion, IA",IA,'2 - 9,Undisclosed,,,"Automotive 25%
Medical 25%
Legal 20%
Business services 10%
Financial services 10%
Real estate 10%",,,Small Business (<$10M) 100%
APartnership,https://themanifest.com/company/apartnership,http://www.apartnership.com/,"APartnership is an advertising company established in 1999. Their small team is located in Arcadia, California. The company focuses on advertising, branding, web design, out of home design, and more.","New York, NY",NY,'10 - 49,Undisclosed,,,Advertising & marketing 100%,,,
TruStar Marketing,https://themanifest.com/company/trustar-marketing,https://trustarmarketing.com/,"TruStar Marketing is an advertising company. Their small team is headquartered in Brentwood, Tennessee. The company offers advertising, digital strategy, pay per click, search engine optimization, and more. The company was established in 2010.","Brentwood, TN",TN,'10 - 49,"$1,000+",,,"Medical 50%
Insurance 20%
Non-profit 15%
Other industries 15%",,,"Small Business (<$10M) 25%
Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 35%"
BR Printers,https://themanifest.com/company/br-printers,https://www.brprinters.com,"BR Printers is a fulfillment company established in 1992. They are in San Jose, California; Denver, Colorado; Denver, Colorado and Independence, Kentucky and have a midsize team. Their services include fulfillment.","San Jose, CA",CA,'250 - 999,Undisclosed,,,"Advertising & marketing 33%
Business services 33%
Manufacturing 33%
Other industries 1%",,,
Wiki Specialist INC,https://themanifest.com/company/wiki-specialist-0,https://wikispecialistinc.com/,"Wiki Specialist INC, a advertising company, is located in South San Francisco, California. They offer advertising, branding, content marketing, and direct marketing and were launched in 2021.","South San Francisco, CA",CA,'10 - 49,Undisclosed,,,,,,
Keystone Marketing Agency,https://themanifest.com/company/keystone-marketing-agency,https://www.keystoneads.com/,"Keystone Marketing Agency is a web design company. Established in 2016, the team focuses on web design, advertising, social media marketing, search engine optimization, and more. Their small firm is in St. George, Utah.","St. George, UT",UT,'2 - 9,"$5,000+",,,"Other industries 50%
Business services 25%
Consumer products & services 25%",,,"Small Business (<$10M) 50%
Midmarket ($10M - $1B) 25%
Enterprise (>$1B) 25%"
Hyper Effects,https://themanifest.com/company/hyper-effects,https://hypereffects.com/,"Hyper Effects is a advertising company launched in 2014. Based in Bremerton, Washington, their small team offers advertising, branding, social media marketing, email marketing, and more.","Bremerton, WA",WA,'10 - 49,"$1,000+",,,,,,
Adzze,https://themanifest.com/company/adzze,https://www.adzze.com,"Adzze is an Advertising and Marketing Strategy company established in 2011. The small team focuses on Advertising and Marketing Strategy. The firm is in New York, New York.","New York, NY",NY,'10 - 49,Undisclosed,,,,,,
Nerdy South Inc,https://themanifest.com/company/nerdy-south,https://www.nerdysouthinc.com,"Nerdy South Inc is a SEO company. Their small team is in Palm Bay, Florida. The agency focuses on search engine optimization, content marketing, advertising, social media marketing, and more.","Palm Bay, FL",FL,'2 - 9,"$1,000+",,,,,,
Lake Digital LLC,https://themanifest.com/company/lake-digital,https://www.lakedigital.com/,"Lake Digital LLC is a Westlake, Ohio-based CRM consulting and SI company. Founded in 2015, the small team offers CRM consulting and SI, social media marketing, search engine optimization, and pay per click.","Cleveland, OH",OH,'2 - 9,"$10,000+",,,"Business services 25%
Manufacturing 25%
Media 25%
Medical 25%",,,
WHM Creative,https://themanifest.com/company/whm-creative-0,https://whmcreative.com/,"WHM Creative is a small Oakland, California-based advertising company. They specialize in advertising, branding, direct marketing, public relations, and more and were established in 2009.","Oakland, CA",CA,'10 - 49,Undisclosed,,,,,,
"ChiroCandy Marketing, LLC",https://themanifest.com/company/chirocandy-marketing,https://chirocandy.com,"ChiroCandy Marketing, LLC is a small business consulting company. In Lumberton, Texas, the company was launched in 1980. Their services include business consulting.","Lumberton, TX",TX,'10 - 49,Undisclosed,,,,,,
